<grid>
0.426797
(2155, 29076),(2197, 28532)
(2305, 29076),(2317, 28532)
(2317, 29076),(2425, 28884)
(2425, 29076),(2437, 28628)
(2785, 28756),(2837, 28532)
(3505, 29076),(3557, 28532)
(3557, 29076),(3637, 29044)
(3888, 28580),(4214, 28532)
(3888, 28596),(4134, 28580)
(4088, 28660),(4134, 28596)
(4625, 29716),(4688, 29172)
(4625, 29076),(4688, 28532)
(4625, 28436),(4688, 27892)
(4625, 27796),(4688, 27252)
(4625, 27156),(4688, 26612)
(4688, 29716),(4694, 26612)
(4694, 29716),(4779, 29172)
(4694, 29076),(4779, 28532)
(4694, 28436),(4779, 27892)
(4694, 27796),(4779, 27252)
(4694, 27156),(4779, 26612)
(4779, 27044),(4797, 26724)
(4779, 27684),(4797, 27364)
(4779, 28324),(4797, 28004)
(4779, 28964),(4797, 28644)
(4779, 29604),(4797, 29284)
(5035, 29076),(5077, 28532)
(5185, 29076),(5197, 28532)
(5197, 29076),(5305, 28884)
(5305, 29076),(5317, 28628)
(5665, 28756),(5717, 28532)
(6385, 29076),(6437, 28532)
(6437, 29076),(6517, 29044)
(6768, 28580),(7094, 28532)
(6768, 28596),(7014, 28580)
(6968, 28660),(7014, 28596)
(7505, 27156),(7677, 26612)
(7505, 30356),(7568, 29812)
(7505, 29716),(7568, 29172)
(7505, 29076),(7568, 28532)
(7505, 28436),(7568, 27892)
(7505, 27796),(7568, 27252)
(7568, 30356),(7574, 27156)
(7574, 30356),(7677, 29812)
(7574, 29716),(7899, 29172)
(7574, 29076),(8597, 28532)
(7574, 28436),(7677, 27892)
(7574, 27796),(7659, 27252)
(7659, 27796),(7797, 27668)
(7659, 27572),(7797, 27252)
(7677, 30356),(7700, 30204)
(7677, 29964),(7694, 29812)
(7677, 28436),(7699, 28284)
(7677, 28044),(7699, 27892)
(7797, 27284),(7877, 27252)
(8545, 27412),(8979, 27252)
(8545, 27428),(9227, 27412)
(8465, 27444),(9227, 27428)
(8465, 27796),(8517, 27444)
(8625, 27484),(8814, 27444)
(9088, 27540),(9227, 27444)
(8705, 27540),(8814, 27484)
(8705, 27548),(9227, 27540)
(8785, 27556),(9227, 27548)
(8865, 27636),(9227, 27556)
(7797, 27796),(7877, 27780)
(7899, 29604),(7917, 29284)
(8479, 27892),(8517, 27796)
(8483, 28044),(8517, 27892)
(8705, 28058),(8997, 27956)
(8483, 28436),(8505, 28284)
(8505, 28436),(8517, 28044)
(8517, 28436),(8597, 28205)
(8597, 29076),(8705, 29044)
(8705, 28084),(8837, 28058)
(8945, 28276),(8997, 28058)
(8705, 28412),(8717, 28084)
(8825, 28372),(8837, 28084)
(8825, 28436),(8888, 28372)
(8597, 28436),(8717, 28412)
(8705, 29076),(8757, 28532)
(8757, 29076),(8865, 29044)
(8825, 28532),(8854, 28436)
(8757, 28564),(9014, 28532)
(8865, 29076),(9014, 28964)
(8865, 28644),(9014, 28564)
(9014, 29076),(9094, 29028)
(9014, 28644),(9094, 28612)
(9065, 28868),(9077, 28644)
(9077, 28708),(9094, 28644)
(9094, 28700),(9397, 28676)
(9094, 28708),(9277, 28700)
(9185, 28932),(9277, 28708)
(9385, 28932),(9397, 28700)
(9373, 28436),(9477, 28372)
(9477, 28436),(9677, 28404)
(9648, 28532),(9677, 28436)
(9585, 28548),(9677, 28532)
(9665, 28692),(9677, 28548)
(9677, 28692),(9797, 28628)
(10025, 28548),(10419, 28532)
(10385, 29076),(10419, 28852)
(10385, 28756),(10419, 28548)
(10419, 28756),(10547, 28692)
(10419, 28916),(10528, 28852)
(10528, 28916),(10547, 28756)
(10675, 28692),(10811, 28532)
(10785, 28908),(10811, 28692)
(10675, 29076),(10677, 28788)
(10677, 29076),(10811, 28908)
(11603, 28644),(12299, 28532)
(11603, 28684),(12317, 28644)
(11625, 28924),(12317, 28684)
(11603, 29076),(12299, 28924)
(12299, 28964),(12317, 28924)
(12555, 29076),(12597, 28532)
(12705, 29076),(12717, 28532)
(12717, 29076),(12825, 28884)
(12825, 29076),(12837, 28628)
(13185, 28756),(13237, 28532)
(13905, 29076),(13957, 28532)
(13957, 29076),(14037, 29044)
(14288, 28580),(14614, 28532)
(14288, 28596),(14534, 28580)
(14488, 28660),(14534, 28596)
(15025, 30356),(15088, 29812)
(15025, 29716),(15088, 29172)
(15025, 29076),(15088, 28532)
(15025, 28436),(15088, 27892)
(15025, 27796),(15088, 27252)
(15025, 27156),(15088, 26612)
(15088, 30356),(15094, 26612)
(15094, 30356),(15179, 29812)
(15094, 29716),(15179, 29172)
(15094, 29076),(15179, 28532)
(15094, 28436),(15179, 27892)
(15094, 27796),(15179, 27252)
(15094, 27156),(15179, 26612)
(15179, 27044),(15197, 26724)
(15179, 27684),(15197, 27364)
(15179, 28324),(15197, 28004)
(15179, 28964),(15197, 28644)
(15179, 29604),(15197, 29284)
(15179, 30244),(15197, 29924)
(15435, 29076),(15477, 28532)
(15585, 29076),(15597, 28532)
(15597, 29076),(15705, 28884)
(15705, 29076),(15717, 28628)
(16065, 28756),(16117, 28532)
(16785, 29076),(16837, 28532)
(16837, 29076),(16917, 29044)
(17168, 28580),(17494, 28532)
(17168, 28596),(17414, 28580)
(17368, 28660),(17414, 28596)
(17905, 30356),(17968, 29812)
(17905, 29716),(17968, 29172)
(17905, 29076),(17968, 28532)
(17905, 28436),(17968, 27892)
(17905, 27796),(17968, 27252)
(17905, 27156),(17968, 26612)
(17968, 30356),(17974, 26612)
(17974, 30356),(18059, 29812)
(17974, 29716),(18077, 29172)
(17974, 29076),(18059, 28532)
(17974, 28436),(18077, 27892)
(17974, 27796),(18059, 27252)
(17974, 27156),(18139, 26612)
(18139, 27044),(18157, 26724)
(18059, 27684),(18077, 27364)
(18077, 27972),(18157, 27892)
(18077, 28436),(18157, 28356)
(18059, 28964),(18077, 28644)
(18059, 30244),(18077, 29924)
(18077, 29324),(18100, 29172)
(18077, 29716),(18094, 29564)
(18315, 29076),(18379, 28532)
(18379, 28964),(18397, 28644)
(18585, 29076),(18779, 28532)
(18779, 28964),(18797, 28644)
(19035, 29076),(19099, 28532)
(19099, 28964),(19117, 28644)
(19305, 29076),(19339, 28532)
(19339, 28964),(19357, 28644)
(19545, 29076),(19579, 28532)
(19579, 28964),(19597, 28644)
(19785, 29076),(19819, 28532)
(19819, 28964),(19837, 28644)
(15865, 36116),(16037, 35572)
(16037, 35732),(16319, 35572)
(18582, 35732),(19519, 35572)
(16037, 35769),(17371, 35732)
(17531, 35769),(20000, 35732)
(16145, 36116),(16197, 35769)
(16305, 36116),(16357, 35769)
(16465, 36116),(16517, 35769)
(16625, 36116),(16677, 35769)
(16785, 36116),(16837, 35769)
(16945, 36116),(16997, 35769)
(17105, 36116),(17157, 35769)
(17265, 36532),(17371, 35769)
(17531, 36492),(17637, 35769)
(17745, 36116),(17797, 35769)
(17905, 36116),(17957, 35769)
(18065, 36116),(18117, 35769)
(18225, 36116),(18277, 35769)
(18385, 36116),(18437, 35769)
(18545, 36116),(18597, 35769)
(18705, 36116),(18757, 35769)
(18865, 36116),(19237, 35769)
(19345, 36116),(19397, 35769)
(19505, 36116),(19557, 35769)
(19665, 36116),(19717, 35769)
(19825, 36116),(19877, 35769)
(19985, 36116),(20000, 35769)
(17371, 36532),(17637, 36492)
(14585, 20756),(15397, 20212)
(15397, 20372),(15679, 20212)
(17942, 20372),(18879, 20212)
(15397, 20409),(16731, 20372)
(16891, 20409),(19931, 20372)
(15505, 20756),(15557, 20409)
(15665, 20756),(15717, 20409)
(15825, 20756),(15877, 20409)
(15985, 20756),(16037, 20409)
(16145, 20756),(16197, 20409)
(16305, 20756),(16357, 20409)
