<grid>
0.582677
(16540, 22836),(18740, 22804)
(19284, 22836),(20000, 22804)
(15964, 23220),(16276, 23188)
(17492, 22932),(18114, 22836)
(18444, 22932),(18464, 22836)
(18716, 22868),(18740, 22836)
(19284, 22868),(20000, 22836)
(16276, 23284),(16284, 23188)
(16284, 23284),(16370, 23124)
(16370, 23284),(16630, 23188)
(16630, 23284),(17244, 23124)
(17164, 22964),(17324, 22932)
(17244, 23284),(17258, 23060)
(17258, 23284),(17410, 23124)
(17324, 23028),(18218, 22932)
(17410, 23284),(17666, 23188)
(17666, 23284),(18044, 23252)
(17964, 23156),(18044, 23124)
(18044, 23284),(18130, 23124)
(18130, 23284),(18388, 23188)
(18218, 22964),(18444, 22932)
(18388, 23284),(18684, 23124)
(18444, 22964),(18716, 22932)
(18684, 23284),(18836, 23060)
(18716, 22964),(18836, 22932)
(18716, 22932),(18836, 22868)
(18836, 23284),(19778, 22868)
(19778, 23284),(20000, 23188)
(19778, 23092),(19970, 22868)
(19970, 23092),(20000, 22996)
(19970, 22900),(20000, 22868)
(17244, 25716),(17940, 25684)
(17940, 25780),(18298, 25684)
(18298, 25716),(19092, 25684)
(18580, 25588),(19092, 25556)
(19092, 25716),(19098, 25556)
(19098, 25716),(19860, 25684)
(19098, 25588),(19178, 25556)
(19254, 25844),(19860, 25812)
(19860, 25844),(19906, 25684)
(19906, 25844),(20000, 25748)
(19924, 25588),(20000, 25556)
(2708, 27444),(2898, 27412)
(4603, 29492),(4897, 29460)
(4924, 27444),(5290, 27412)
(5588, 27444),(5778, 27412)
(5780, 26804),(6099, 26772)
(5780, 30196),(6099, 30164)
(6403, 30196),(6722, 30164)
(6564, 30260),(6722, 30196)
(6722, 30260),(7768, 30228)
(7324, 25396),(7488, 25364)
(7764, 25076),(7810, 25044)
(8468, 25012),(8538, 25000)
(8732, 25204),(9858, 25172)
(8852, 33332),(9026, 33300)
(8980, 25012),(9498, 25000)
(9108, 35892),(9178, 35860)
(9012, 36468),(9218, 36436)
(9164, 36532),(9218, 36468)
(9218, 36532),(9738, 36500)
(9684, 23668),(9738, 23636)
(9748, 29364),(9859, 29332)
(10024, 23604),(10050, 23572)
(10030, 24564),(13826, 24532)
(10068, 25012),(10242, 25000)
(10204, 23732),(10242, 23700)
(10204, 24436),(10306, 24404)
(10260, 25140),(10648, 25108)
(10388, 23476),(10976, 23444)
(10388, 35892),(10672, 35860)
(10452, 33268),(10538, 33236)
(10604, 25012),(11978, 25000)
(10764, 24436),(11130, 24404)
